config_hash,geometry,dim,curvature,epochs,batch_size,lr,lr_proto,weight_decay,dropout,seed,tree_loss_weight,tree_hierarchy,train_seconds,loss,top1_accuracy,top5_accuracy,balanced_accuracy,num_samples,split,checkpoint,device,embedding_dim,epoch,dropped_missing_feature_rows,prototype_tree_pearson,prototype_tree_spearman,class_center_tree_pearson,class_center_tree_spearman,mean_tree_distance_all_predictions,median_tree_distance_all_predictions,mean_tree_distance_mistakes,median_tree_distance_mistakes,mistakes_within_tree_distance_2,tree_distortion_scale,tree_distortion_average,tree_distortion_worst_case,dendrogram_cluster_precision,dendrogram_cluster_recall,dendrogram_cluster_f1,dendrogram_exact_cluster_matches,dendrogram_num_predicted_clusters,dendrogram_num_ground_truth_clusters,knn_siblings_valid_queries,knn_siblings_recall_at_5,knn_siblings_recall_at_10,knn_cousins_valid_queries,knn_cousins_recall_at_5,knn_cousins_recall_at_10,frechet_style,frechet_sample_size,frechet_trials,frechet_nearest_prototype_accuracy,frechet_target_prototype_distance_mean,frechet_target_prototype_distance_std,frechet_best_other_margin_mean,frechet_holdout_same_style_distance_mean
41020fe9fa,euclidean,2,,30,4096,0.001,0.01,0.0001,0.1,0,0.0,default,8.755918264389038,1.5738754742346943,0.5360140862372548,0.9055321239916464,0.3616673449891187,24421,val,/Users/peterflo/Desktop/projects/research/hyperbolic/data/runs/sweep/41020fe9fa/ckpt.pt,mps,2,30,0,-0.0564732218743133,-0.0308898114558892,0.210098220848852,0.2313687311706081,1.4155439990172392,0.0,3.050833995234313,2.0,0.629511958344365,1.0462833918248935,1.8778021804003535,5.826803708205502,0.0,0.0,0.0,0,25,14,17172,0.2143023526671325,0.3084090379687864,11892,0.3186175580221998,0.4049781365623949,Cubism,8,100,0.86,0.6909682058542966,0.4207031117020779,0.7002389995008707,1.61350842833519
1106fdeaef,euclidean,2,,30,4096,0.001,0.01,0.0001,0.1,1,0.0,default,7.720734119415283,1.6003343785728286,0.5247123377421072,0.904057982883584,0.3562259440116084,24421,val,/Users/peterflo/Desktop/projects/research/hyperbolic/data/runs/sweep/1106fdeaef/ckpt.pt,mps,2,30,0,-0.0637492636321848,-0.030583284743442,0.2052168247031876,0.2409125796929737,1.4956389992219812,0.0,3.1468079607133626,2.0,0.6001550788317395,1.0660454947005638,1.8895580720737024,5.4842965720767864,0.04,0.0714285714285714,0.0512820512820512,1,25,14,17172,0.2067318891218262,0.3053226182157,11892,0.3340901446350487,0.4196939118735284,Cubism,8,100,0.78,0.6150005792081356,0.3753007092854769,0.592059787735343,1.2224431872367858
7922a10f9c,euclidean,2,,30,4096,0.001,0.01,0.0001,0.1,2,0.0,default,7.458842992782593,1.592710610352962,0.5341714098521764,0.9022562548626184,0.3662078405832868,24421,val,/Users/peterflo/Desktop/projects/research/hyperbolic/data/runs/sweep/7922a10f9c/ckpt.pt,mps,2,30,0,-0.0421111638789728,-0.0110941770357289,0.2301726467942296,0.2592544415141915,1.4492854510462307,0.0,3.1111990154711675,2.0,0.6146272855133614,1.0090211955063064,1.8645754359963784,5.677214868917435,0.0,0.0,0.0,0,25,14,17172,0.2414395527603074,0.342359655252737,11892,0.334510595358224,0.4225529767911201,Cubism,8,100,0.83,0.7222325618099421,0.4202502452682322,0.6373165595997125,1.4233360660076142
48c2c0615d,euclidean,4,,30,4096,0.001,0.01,0.0001,0.1,0,0.0,default,8.34946894645691,1.2342346709647658,0.620490561402072,0.9396830596617664,0.4882791555235691,24421,val,/Users/peterflo/Desktop/projects/research/hyperbolic/data/runs/sweep/48c2c0615d/ckpt.pt,mps,4,30,0,-0.0577248641322651,-0.011613600483003,0.2194233677133024,0.2347201827802461,1.08566397772409,0.0,2.8607034958998705,2.0,0.6523521795425119,1.570473254919638,1.82626839449533,4.731344845442026,0.0,0.0,0.0,0,25,14,17172,0.1600861868157465,0.2387607733519683,11892,0.2692566431214261,0.3425832492431887,Cubism,8,100,0.91,1.5950912022590638,0.4371212752012001,1.6579854011535644,3.052649881839752
1227ee9ecc,euclidean,4,,30,4096,0.001,0.01,0.0001,0.1,1,0.0,default,7.833779335021973,1.259530808956772,0.6143892551492568,0.9385365054666066,0.4742528443682509,24421,val,/Users/peterflo/Desktop/projects/research/hyperbolic/data/runs/sweep/1227ee9ecc/ckpt.pt,mps,4,30,0,-0.0954961705348558,-0.0466643727300383,0.1361229688811691,0.155335198139066,1.0954915851111748,0.0,2.840925984920888,2.0,0.6588085377508761,1.4687920469236782,1.8445361205884312,4.461133396797927,0.04,0.0714285714285714,0.0512820512820512,1,25,14,17172,0.1790123456790123,0.2617051013277428,11892,0.2652203161789438,0.3446014127144298,Cubism,8,100,0.87,1.3557180750370026,0.4719665254119366,0.9663995242118836,2.5069449496269227
622f726357,euclidean,4,,30,4096,0.001,0.01,0.0001,0.1,2,0.0,default,7.691953182220459,1.2457462628972085,0.6175422791859465,0.9387821956512836,0.4839627658387146,24421,val,/Users/peterflo/Desktop/projects/research/hyperbolic/data/runs/sweep/622f726357/ckpt.pt,mps,4,30,0,0.0215953746193225,0.0725102871326098,0.3028258590150207,0.3174676261266475,1.089308382130134,0.0,2.8481798715203426,2.0,0.6533190578158459,1.5256426405127343,1.7707021036364532,4.726780809908702,0.0,0.0,0.0,0,25,14,17172,0.1622408572094106,0.2426624737945492,11892,0.2721157080390178,0.3468718466195762,Cubism,8,100,0.89,1.7250903254747392,0.5213785519311808,1.5337160193920136,3.5370520162582397
b45d305fbc,euclidean,8,,30,4096,0.001,0.01,0.0001,0.1,0,0.0,default,7.991679906845093,1.1250935923549916,0.6414561238278531,0.9504115310593342,0.5160079012316131,24421,val,/Users/peterflo/Desktop/projects/research/hyperbolic/data/runs/sweep/b45d305fbc/ckpt.pt,mps,8,30,0,-0.0327818431889646,0.0117335638918289,0.2458413657410683,0.2597416796566587,1.0034806109495926,0.0,2.798766560073093,2.0,0.6642302421196894,1.9863673504362216,1.797642530275633,4.628734751865349,0.0,0.0,0.0,0,25,14,17172,0.1558350803633822,0.2342184952247845,11892,0.2635385132862428,0.3363605785401951,Cubism,8,100,0.9,2.119288999438286,0.5286905650184085,1.6988609272241593,4.234315452575683
b1ee6c683b,euclidean,8,,30,4096,0.001,0.01,0.0001,0.1,1,0.0,default,7.992053985595703,1.1032081140571142,0.6446500962286557,0.954424470742394,0.5293063255259407,24421,val,/Users/peterflo/Desktop/projects/research/hyperbolic/data/runs/sweep/b1ee6c683b/ckpt.pt,mps,8,30,0,0.044889557912918,0.0986623102566569,0.3226207282226252,0.3372296819387624,0.9947586093935548,0.0,2.799377736805716,2.0,0.6560267342705692,2.034480826221153,1.7605597459097333,4.790911764414625,0.04,0.0714285714285714,0.0512820512820512,1,25,14,17172,0.1485557884928954,0.2192522711390636,11892,0.260343087790111,0.3299697275479313,Cubism,8,100,0.91,2.3116506791114806,0.623510664416101,2.074239528179169,4.950839252471924
7216fc89a2,euclidean,8,,30,4096,0.001,0.01,0.0001,0.1,2,0.0,default,7.876369953155518,1.1119769718395025,0.6415380205560788,0.9533598132754596,0.5207365434004414,24421,val,/Users/peterflo/Desktop/projects/research/hyperbolic/data/runs/sweep/7216fc89a2/ckpt.pt,mps,8,30,0,0.0153616663207852,0.0675679618853712,0.260140305010298,0.2784445463469449,1.0230948773596495,0.0,2.854123829106694,2.0,0.6493031756911126,1.951227477395021,1.7847813437294748,4.265475453978122,0.04,0.0714285714285714,0.0512820512820512,1,25,14,17172,0.1472746331236897,0.2182622874446773,11892,0.2595862764883955,0.3292129162462159,Cubism,8,100,0.95,2.381560184955597,0.5134805334560363,2.014285924434662,4.507762174606324
fccb806fc2,euclidean,16,,30,4096,0.001,0.01,0.0001,0.1,0,0.0,default,8.227155923843384,1.0636754878630172,0.653781581425822,0.958068875148438,0.5529848538873913,24421,val,/Users/peterflo/Desktop/projects/research/hyperbolic/data/runs/sweep/fccb806fc2/ckpt.pt,mps,16,30,0,0.0508401922032268,0.0942406624296069,0.2739186971742283,0.2970392927059316,0.978133573563736,0.0,2.8251921939680664,2.0,0.654642223536369,2.156559451286658,1.7743257267219177,4.395822484625601,0.04,0.0714285714285714,0.0512820512820512,1,25,14,17172,0.1414511996273002,0.2124970882832518,11892,0.2563908509922637,0.3294651866801211,Cubism,8,100,0.91,2.32454527258873,0.5886411047183361,2.1668801748752595,4.772217788696289
